region_id,region_name,state_name,cbsa_code,cbsa_title,match_score,match_method,needs_review
394864,"Mineral Wells, TX",TX,33420,"Mineral Wells, TX",100,city+state_fuzzy,False
394580,"Fairbanks, AK",AK,21820,"Fairbanks-College, AK",100,city+state_fuzzy,False
394501,"Corning, NY",NY,18500,"Corning, NY",100,city+state_fuzzy,False
394469,"Clarksburg, WV",WV,17220,"Clarksburg, WV",100,city+state_fuzzy,False
395145,"Talladega, AL",AL,45180,"Talladega-Sylacauga, AL",100,city+state_fuzzy,False
395106,"Somerset, PA",PA,43740,"Somerset, PA",100,city+state_fuzzy,False
395024,"Rio Grande City, TX",TX,40100,"Rio Grande City-Roma, TX",100,city+state_fuzzy,False
395020,"Rexburg, ID",ID,39940,"Rexburg, ID",100,city+state_fuzzy,False
394592,"Fernley, NV",NV,,,37,unmatched,True
394621,"Gaffney, SC",SC,23500,"Gaffney, SC",100,city+state_fuzzy,False
394977,"Picayune, MS",MS,38100,"Picayune, MS",100,city+state_fuzzy,False
394951,"Oxford, MS",MS,37060,"Oxford, MS",100,city+state_fuzzy,False
394562,"Elizabeth City, NC",NC,21020,"Elizabeth City, NC",100,city+state_fuzzy,False
395017,"Red Wing, MN",MN,39860,"Red Wing, MN",100,city+state_fuzzy,False
395144,"Tahlequah, OK",OK,45140,"Tahlequah, OK",100,city+state_fuzzy,False
394377,"Bellefontaine, OH",OH,13340,"Bellefontaine, OH",100,city+state_fuzzy,False
394990,"Ponca City, OK",OK,38620,"Ponca City, OK",100,city+state_fuzzy,False
394319,"Alma, MI",MI,10940,"Alma, MI",100,city+state_fuzzy,False
395178,"Urbana, OH",OH,46500,"Urbana, OH",100,city+state_fuzzy,False
395192,"Vincennes, IN",IN,47180,"Vincennes, IN",100,city+state_fuzzy,False
394430,"Butte, MT",MT,15580,"Butte-Silver Bow, MT",100,city+state_fuzzy,False
394557,"Effingham, IL",IL,20820,"Effingham, IL",100,city+state_fuzzy,False
394815,"Madison, IN",IN,31500,"Madison, IN",100,city+state_fuzzy,False
394749,"Kingsville, TX",TX,28780,"Kingsville, TX",100,city+state_fuzzy,False
394855,"Miami, OK",OK,33060,"Miami, OK",100,city+state_fuzzy,False
394708,"Iron Mountain, MI",MI,27020,"Iron Mountain, MI-WI",100,city+state_fuzzy,False
394751,"Kirksville, MO",MO,28860,"Kirksville, MO",100,city+state_fuzzy,False
753926,"Weatherford, OK",OK,48220,"Weatherford, OK",100,city+state_fuzzy,False
394381,"Bennettsville, SC",SC,,,60,unmatched,True
395159,"Toccoa, GA",GA,45740,"Toccoa, GA",100,city+state_fuzzy,False
753884,"Hailey, ID",ID,25200,"Hailey, ID",100,city+state_fuzzy,False
395038,"Rome, GA",GA,40660,"Rome, GA",100,city+state_fuzzy,False
394410,"Brainerd, MN",MN,14660,"Brainerd, MN",100,city+state_fuzzy,False
395175,"Ukiah, CA",CA,46380,"Ukiah, CA",100,city+state_fuzzy,False
395133,"Stillwater, OK",OK,44660,"Stillwater, OK",100,city+state_fuzzy,False
394489,"Columbus, IN",IN,18020,"Columbus, IN",100,city+state_fuzzy,False
394445,"Casper, WY",WY,16220,"Casper, WY",100,city+state_fuzzy,False
395010,"Quincy, IL",IL,39500,"Quincy, IL-MO",100,city+state_fuzzy,False
394540,"Dublin, GA",GA,20140,"Dublin, GA",100,city+state_fuzzy,False
394570,"Enid, OK",OK,21420,"Enid, OK",100,city+state_fuzzy,False
394551,"Eagle Pass, TX",TX,20580,"Eagle Pass, TX",100,city+state_fuzzy,False
394538,"Douglas, GA",GA,20060,"Douglas, GA",100,city+state_fuzzy,False
394608,"Fort Polk South, LA",LA,,,41,unmatched,True
395008,"Pullman, WA",WA,39420,"Pullman, WA",100,city+state_fuzzy,False
394844,"McComb, MS",MS,32620,"McComb, MS",100,city+state_fuzzy,False
