station,cbsa_code
US1FLGD0002,45220
US1FLGL0007,17500
US1FLHB0001,45300
US1FLHB0004,45300
US1FLHB0005,45300
US1FLHB0010,45300
US1FLHB0017,45300
US1FLHB0027,45300
US1FLHB0033,45300
US1FLHB0037,45300
US1FLHB0044,45300
US1FLHB0048,45300
US1FLHB0051,45300
US1FLHB0055,45300
US1FLHB0069,45300
US1FLHB0098,45300
US1FLHB0112,45300
US1FLHB0114,45300
US1FLHB0130,45300
US1FLHB0140,45300
US1FLHL0001,42700
US1FLHL0003,42700
US1FLHL0012,42700
US1FLHL0013,42700
US1FLHN0014,45300
US1FLHY0003,17500
US1FLIR0006,42680
US1FLIR0024,42680
US1FLIR0029,42680
US1FLIR0036,42680
US1FLJF0006,45220
US1FLJF0007,45220
US1FLJF0009,45220
US1FLLE0006,15980
US1FLLE0022,15980
US1FLLK0003,36740
US1FLLK0005,36740
US1FLLK0021,36740
US1FLLK0025,36740
US1FLLK0028,36740
US1FLLN0010,45220
US1FLLN0029,45220
US1FLLN0031,45220
US1FLLN0034,45220
US1FLLN0041,45220
US1FLLN0047,45220
US1FLLN0055,45220
US1FLLV0004,23540
US1FLMA0006,35840
US1FLMA0033,35840
US1FLMD0003,33100
US1FLMD0007,33100
US1FLMD0022,33100
US1FLMD0030,33100
US1FLMD0033,33100
US1FLMD0051,33100
US1FLMD0059,33100
US1FLMD0069,33100
US1FLMN0006,28580
US1FLMN0008,28580
US1FLMN0024,28580
US1FLMR0003,36100
US1FLMR0004,36100
US1FLMR0012,36100
US1FLMR0013,36100
US1FLMR0018,36100
US1FLMR0032,36100
US1FLMR0036,36100
US1FLMR0046,36100
US1FLMR0054,36100
US1FLMR0066,36100
US1FLOB0002,36380
US1FLOK0001,18880
US1FLOK0002,18880
US1FLOK0015,18880
US1FLOK0020,18880
US1FLOK0023,18880
US1FLOK0029,18880
US1FLOR0019,36740
US1FLOR0026,36740
US1FLOR0027,36740
US1FLOR0030,36740
US1FLOR0035,36740
US1FLOR0046,36740
US1FLOS0001,36740
US1FLPB0007,33100
US1FLPB0012,33100
US1FLPB0013,33100
US1FLPB0036,33100
US1FLPB0061,33100
US1FLPB0069,33100
US1FLPB0072,33100
US1FLPB0081,33100
US1FLPK0007,29460
US1FLPK0018,29460
US1FLPK0032,29460
US1FLPK0034,29460
US1FLPK0035,29460
US1FLPK0037,29460
US1FLPK0039,29460
US1FLPN0004,45300
US1FLPN0006,45300
US1FLPN0009,45300
US1FLPN0017,45300
US1FLPN0034,45300
US1FLPN0036,45300
US1FLPN0060,45300
US1FLPN0083,45300
